time	VR	Vout	Vin
2.389048571397457e-03	7.455780e-01	6.388807e-02	8.094661e-01
2.394628928540313e-03	7.429332e-01	8.461369e-02	8.275469e-01
2.400209285683171e-03	7.395480e-01	1.052655e-01	8.448135e-01
2.405789642826028e-03	7.354225e-01	1.258434e-01	8.612659e-01
2.411369999968885e-03	7.305566e-01	1.463474e-01	8.769040e-01
2.423088749968885e-03	7.177688e-01	1.892366e-01	9.070055e-01
2.434807499968885e-03	7.020410e-01	2.308549e-01	9.328959e-01
2.446526249968885e-03	6.833730e-01	2.712022e-01	9.545752e-01
2.458244999968885e-03	6.617649e-01	3.102786e-01	9.720435e-01
2.469963749968885e-03	6.372167e-01	3.480840e-01	9.853007e-01
2.481682499968885e-03	6.097284e-01	3.846185e-01	9.943469e-01
2.493401249968885e-03	5.792999e-01	4.198821e-01	9.991820e-01
2.506794107111742e-03	5.410649e-01	4.578673e-01	9.989322e-01
2.520186964254600e-03	5.003535e-01	4.927793e-01	9.931328e-01
2.533579821397457e-03	4.571656e-01	5.246181e-01	9.817837e-01
2.546972678540314e-03	4.115012e-01	5.533837e-01	9.648849e-01
2.560365535683171e-03	3.633604e-01	5.790760e-01	9.424365e-01
2.573758392826028e-03	3.127432e-01	6.016952e-01	9.144384e-01
2.587151249968885e-03	2.596495e-01	6.212411e-01	8.808906e-01
2.594963749968885e-03	2.282075e-01	6.308048e-01	8.590123e-01
2.602776249968885e-03	1.964766e-01	6.391044e-01	8.355809e-01
2.610588749968885e-03	1.644568e-01	6.461398e-01	8.105966e-01
2.618401249968885e-03	1.321482e-01	6.519110e-01	7.840592e-01
2.626213749968885e-03	9.955075e-02	6.564180e-01	7.559688e-01
2.634026249968885e-03	6.666445e-02	6.596609e-01	7.263253e-01
2.641838749968885e-03	3.348929e-02	6.616396e-01	6.951289e-01
2.649651249968885e-03	4.073977e-04	6.623017e-01	6.627091e-01
2.654673571397457e-03	-2.090677e-02	6.620416e-01	6.411348e-01
2.659695892826028e-03	-4.216135e-02	6.612504e-01	6.190890e-01
2.664718214254600e-03	-6.335636e-02	6.599281e-01	5.965717e-01
2.669740535683171e-03	-8.449178e-02	6.580747e-01	5.735829e-01
2.674762857111742e-03	-1.055676e-01	6.556901e-01	5.501225e-01
2.679785178540314e-03	-1.265839e-01	6.527745e-01	5.261906e-01
2.684807499968885e-03	-1.475406e-01	6.493278e-01	5.017872e-01
2.694852142826028e-03	-1.893139e-01	6.407651e-01	4.514512e-01
2.704896785683171e-03	-2.301562e-01	6.302392e-01	4.000830e-01
2.714941428540314e-03	-2.700674e-01	6.177501e-01	3.476827e-01
